,이름,제조사,주원료,규격,도수,설명
14,비노 페스티바 화이트,비노케슬,"청수 포도, 효모",750ml,12.5%,"달콤한 포도향과 함께 사과, 체리향이 느껴지는 화이트 와인입니다."
15,아리아리,제이앤제이브루어리,"쌀, 국, 효모, 정제수",500ml,12%,"아리아리는 쌀과 누룩으로 빚은 아리까리한 술입니다.

부드럽고 가벼운 바디감에 풍부한 과실향이 더해져 산뜻한 맛과 향을 지녔습니다."
16,드랍더비트,제주왕지케,"정제수, 포도당, 레드비트, 효모",375ml,14%,제주 레드비트는 서양 채소 4총사 중 하나로 내륙보다 따뜻한 기온과 바다에서 불어오는 해풍을 이겨내며제주에서 재배된 작물입니다.이러한 레드비트와 제주에서만 나오는 제주 붉은 누룩을 사용해 빚어 낸 전통주로써 붉은 색감과 깔끔한 뒷맛이 매력적인 건강함을 한껏 머금은 발효주입니다.
17,조선주조사,우포의아침,"쌀, 입국, 누룩, 주정, 정제수",700ml,14%,일주일의 발효과정과 20일간의 저온 숙성 과정을 거쳐 탄생한 조선주조사는 곡물의 잡미를 최소화하고 깨끗한 맛을 살립니다.
18,나주배약주,정고집,"쌀, 쌀가루, 나주배 착즙액, 누룩, 정제효소제, 종국, 젖산, 효모",500ml,15%,"영산강이 키워낸 영양이 풍부한 쌀과 금성산 자락 맑은 암반수로 정성스레 빚어낸 정고집만의 이유 있는 고집입니다.

2200시간의 오랜 발효 기간을 거쳐 정고집만의 노하우와 고집으로 정성 들여 만들었습니다."
19,고메순,한사도가,"정제수, 쌀, 찹쌀, 누룩, 자색고구마, 효모, 효소처리스테비아",1000ml,6%,진주 곡자 전통누룩으로 만들어 우리나라 전통 막걸리의 풍미가 살아있으며 살아있는 효모가 계속 발효하여 풍부한 자연 탄산이 특징입니다.
20,좋은저녁석류 추석에디션,산들벗,"석류, 설탕, 효모, 소르빈산칼륨, 산성아황산나트륨",750ml,12%,기존의 와인 제조법에 산들벗만의 제조 기술을 도입하여 산머루만의 장점을 최대한 살려 빚은 과실주입니다.
21,더찾을수록(아메리카노향),한국애플리즈,"사과와인, 정제수, 정제주정, 커피향, 사과산",360ml,14%,"더 찾을수록은 사과와인을 베이스로 만들어져, 독한맛이 없고 부드럽고 순한 느낌을 주는 과실주입니다."
22,병영소주,병영양조장,"보리증류식소주원액, 정제수",500ml,40%,100% 국산 보리를 발효 및 증류하여 만든 보리소주입니다.
23,14도 자색고구마 막걸리,12월의 양조장,"쌀, 국, 물, 효모, 자색고구마",375ml,14%,"자색고구마막걸리는 누룩과 쌀로 처음 밑술을 만들어 발효시킨 후,고두밥과 자색고구마를 넣어 두 번 발효시키는 이양주 방식으로 빚어진 탁주입니다"
24,감자술,오대서주 양조장,"정제수, 쌀, 감자, 누룩, 효모, 밀곡류 함유",300ml,13%,서주는 땅 속의 사과라고 불릴만큼 영양분이 풍부한 감자로 만든 와인과 같은 술입니다.
25,도원결의,영덕주조,"정제수, 증류원액, 복숭아, 복숭아향, 포도당, 효소처리스테비아",360ml,15%,"천연 복숭아 그대로를 첨가하여 빚어낸 부드러운 목 넘김과 과하지 않은 단맛, 상큼함의 조화가 돋보이는 리큐르입니다."
26,오계리와인 복숭아,오계리 와이너리,영천 복숭아 100%,500ml,7%,경북 영천에서 재배한 복숭아로 만든 오계리 와인은 풍부한 과실향과 아름다은 빛은 띄는 프리미엄 와인입니다.
27,샤토미소 복숭아와인,도란원,"복숭아, 설탕, 효모, 메타중아황산칼륨, 아황산",375ml,9%,많이 달지 않고 미디엄 스위트 타입의 복숭아 와인입니다.
28,양반안동소주 3년산 호리병,양반안동소주,"쌀100%+천연암반수, 순곡주",400ml,45%,100% 국내산 쌀과 안동 고지대의 암반수를 사용하여 만들어졌으며 어떠한 첨가물도 혼합하지 않은 전통 증류주입니다.
29,복분자 그라빠,술아원,"증류원액(국내산 복분자), 정제수",375ml,40%,항아리 숙성 후 냉동여과공법을 이용해 복분자의 달달한 향과 깔끔한 맛이 특징입니다.
30,이연56,한국고량주,"수수, 누룩, 효모, 정제수",500ml,56%,무농약 수수를 사용하기 때문에 안심하고 마실 수 있는 국산 고량주입니다.
31,대숲 맑은 담양향 Gold,죽향도가,"정제수, 쌀, 벌꿀, 조제종국, 젖산",375ml,41%,담양의 친환경 쌀을 우리 전통의 소주 제조 기법으로 1~5년 저온숙성을 통해 만든 프리미엄 증류식 소주입니다.
32,청명주,한영석의 발효연구소,"찹쌀, 정제수, 한영석 누룩",375ml,13.8%,새콤하게 입맛을 돋우는 산미와 깔끔함이 돋보이는 약주입니다.
33,한통의 구절초꽃술,한통술,"정제수, 기찬쌀, 구절초꽃, 연잎, 도꼬마리열매, 둥굴레, 감초,  향온곡 누룩, 사카린나트륨제제, 사카린나트륨",850ml,11%,상큼하고 순수한 곡향이 입안에 감미롭게 퍼져나갑니다.
34,풍정사계 하(夏),풍정사계,"국내산(멥쌀,찹쌀,정제수,전통주-밀함유)",500ml,18%,법주 발효 중 증류주를 첨가하여 저온 숙성한 과하주입니다.
35,여수밤바다 옥수수막걸리,새순천양조영농조합법인,"정제수, 옥수수분말, 자일리톨, 효모, 누룩, 물엿, 정제효소",750ml,6%,지하 200m 청정 암반수에 국내산 쌀로 빚은 살균 막걸리입니다.
36,해운대블루스,농업회사법인 주식회사 참주가,"증류원액, 정제수, 매실, 기타과당, 에리스리톨",360ml,17.3%,국내산 쌀을 발효 숙성하여 증류한 술에 직접 재배한 매실을 듬뿍 더하여 만든 전통주입니다.
37,블링블링 바다별고래,영덕주조,"포도, 정제수, 효소처리스테비아, 증류원액",360ml,15%,바다별고래는 엄선하여 재배된 100% 국내산 포도를 사용하여 정성을 담아 탄생한 전통주입니다.
38,헤베 애플 사이더,한국애플리즈,사과와인 (사과과즙 100%),330ml,9%,헤베 애플사이더는 경북 의성 사과를 원재료로 어떠한 첨가물 없이 사과즙 100%에 소량의 효모만을 넣어 만들어진 프리미엄 사과 발효주입니다.
39,공주애 오디와인,사곡양조원,오디 (국내산 공주),375ml,15%,공주애 오디와인은 검붉게 익은 공주산 오디 과실만을 채취하여 전래비법으로 숙성시킨 과실주입니다.
40,세인트하우스 매실와인,해미읍성딸기와인,"매실(80%), 아황산염, 소르빈산염",500ml,12%,단맛이 매우 강하고 산미가 적어 식후 디저트 와인입니다.
41,오매락 25,배상면주가,"배증류원액(배81.07%), 매실(국내산), 오매(국내산0.01%)",375ml,25%,기존 오매락에서 느낄 수 있는 배와 매실의 진한 맛과 향은 그대로 유지하면서 알콜도수를 낮추었습니다.
42,별헤주 1941,백운주가,"매실(국내산), 정제수, 발효주정, 과당, 천일염,에리스리톨, L-아스파라긴산(영양강화제)",360ml,17%,"과학적인 검증을 거친 저온 숙성법을 활용한 증류주입니다.영양이 가장 풍부한 매실을 한 알 한 알 엄선하여 수확해

매실의 깊은 맛과 향을 담았습니다."
43,홀리 엠,두루양조,"오미자청, 정제수, 주정",375ml,37%,직접 재배한 메밀을 이양주 방식으로 빚어낸 메밀증류주입니다.
44,이강주 5호,전주 이강주,"쌀(국산), 정제수, 배(국산), 정맥(국산), 생강(국산), 울금, 계피, 꿀, 효모, 누룩, 조효소제",500ml,25%,"이강주(梨薑酒)는 조선시대 3대 명주 중 하나로서, 전통소주에 배(梨:배나무 이)와 생강(薑:생강 강)이 들어간다고 하여 이강주라 불리게 되었으며 예전에는 약의 의미인 이강고(梨薑膏)라 불렸습니다."
45,석로주,석이원주조,"맵쌀(국산), 정제수, 석이버섯(국산), 누룩(국산)",700ml,13%,"색과 향, 맛이 조화롭게 어우러진 술입니다.전통 방식 그대로 세 번 빚는 프리미엄 삼양주입니다."
46,감홍로,감홍로,"정제수,쌀(국내산),조,용안육,계피,진피,정향,생강,감초,자초",400ml,40%,은은하고도 강렬한 계피 향미가 도드라지는 전통 증류주입니다.
47,문배술 천향,문배주양조원,"증류원액(조(국산), 수수(국산),효모,국,정제수), 정제수",375ml,40%,"무첨가물, 무가 향 국내산 수수와 조로 만든 순수한 증류주입니다."
48,한주매화,한주양조,"쌀41.936%(국내산),정제수,누룩(밀)",700ml,35%,"한주(汗酒)는 땀을 내듯 증류시킨 술로
한방울 한방울 정성들여 만든 귀한 술을 의미합니다."
49,이화주 참,백주도가,"정제수,백미(국내산),입국(백미),누룩,효모",150ml,9%,고려시대부터 전해 내려오는 전통 탁주입니다. 산미는 거의 없고 진한 단맛 뒤에 이내 쌉쌀한 맛이 따라와 마냥 달콤한 줄 알았던 맛에 반전을 선사합니다.
50,이화주,양주골이가,"쌀(국내산,양주시),찹쌀(국내산), 정제수, 쌀누룩",120ml,8.5%,이화주는 고려시대 때부터 빚어졌던 술로써 물을 거의 사용하지 않는 다는 것이 가장 큰 특징이며 농축 요구르트와 같은 된 죽 형태이고 달달한 맛과 독특한 향이 특징입니다.
51,배꽃 필 무렵,예술주조,"쌀(국내산), 정제수, 누룩(밀)",140ml,9%,쌀로만 만들어서 새하얀 색을 띠는 전용 누룩 [이화곡]으로 빚은 탁주입니다.
52,롤링,오르또 와이너리,사과 원액 87.95%백설탕 12% 효모 0.02% 메타중아황산칼륨0.03%,750ml,13.5%,가볍지 않은 로제 와인의 깊은 진한 향은 [롤링]만의 특징입니다.
53,농담,두루미 양조장,"정제수,멥쌀(철원 오대쌀),국(쌀,밀),국화(국내산)효모(밀함유)",375ml,16%,"무겁지도 않은 바디감은 물론,탄산감이 적어 목 넘김이 부드럽습니다. 달콤하고 화사한 풍미 가득한 단맛이 알코올의 쓴맛을 잡아줍니다."
54,연하,이시보 양조장,"쌀(국내산), 누룩(국내산), 백년초(제주산), 진피(제주산), 정제수",330ml,12%,연하 막걸리는 붉은색의 노을빛을 담고 있는 제주의 술입니다.부드러운 질감에 요거트 향과 시트러스 한 향이 나는 것이 특징입니다.
55,포도 막걸리,민주술도가,"쌀(국내산-포천 으뜸쌀), 포도(국내산-포천), 누룩(국내산), 정제수",500ml,12%,리얼 100% 포도만 100% 천연발효 수제 막걸리입니다. 아스파탐은 물론 그 어떤 화학물질도 들어가지 않은 순수한 막걸리입니다.
56,고타 하이크,두루양조 용소주,"물,쌀(국내산),국,효모",750ml,6%,강원도 햅쌀을 사용해 빚은 고타 시리즈 막걸리는 부드럽지만 나약하지 않은 6도의 상쾌한 풍미가 있는 막걸리입니다.
57,문콕,마마스팜,"찹쌀13.19%,멥쌀6.90%,누룩2.07%,정제수77.24%",500ml,8%,문삼이공 막걸리 저도수 버전으로 가벼운 맛 대비 화려한 풍미를 지니고 있습니다.
58,뷰레떼 라이트 스파클링,애플린영농조합,"정제수,설탕,구연산[산도조절제].펙틴,효모,스크랄로스[감미료],이산화탄소[탄산],소르빈산칼륨[보존료],메타중아황산칼륨[산화방지제]",375ml,8%,탄산과 어우러지는 사과의 싱그러움이 입안 가득 느껴집니다.
59,월광주 42,월광주조,"쌀,물,누룩",375ml,42%,삼양주 막걸리를 전통 방식으로 증류한 원주 그대로의 소주입니다. 전통 소주 그대로의 깊은 맛과 향을 즐길 수 있습니다.
60,어린 꿀술,곰세마리 양조장,"정제수, 꿀, 효모, 메타중아황산칼륨",500ml,11.8%,꿀이 아닌 [꿀술]에서만 느낄 수 있는 상큼하고 색다른 맛과 향을 만날 수 있을 겁니다.
61,포그막 10,달성주조,"정제수 ,찹쌀,국,효모",500ml,10%,조선시대 선비들에게 합격 찰떡으로 유명했던 유가 찹쌀만으로 빚은 술입니다.신맛을 강하게 생산하는 사워 효모를 사용하여 빚은 술입니다.
62,한탄강 익스프레스,두루미 양조장,"멥쌀, 국, 효모, 조효소제",500ml,12%,"단 맛 없이 깔끔하고 새콤하고 쌉쌀한 맛을 가진 탁주입니다.달고 무거운, 텁텁한 맛을 가진 막걸리에 질렸다면,
한탄강 익스프레스는 깔끔하게 즐길 수 있는 전통주입니다."
63,이천미 예술,그린피엠,"백미(국산),밀누룩(국산),정제수 밀(누룩)함유",750ml,14%,"국내산 이천 쌀과 500년 전통 누룩으로 빚어 전통 누룩의 깊은 향과 쌀 고유의 자연스러운 단 맛,부드러운 목 넘김이 좋습니다."
64,머루와인,덕유양조,"머루(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모",750ml,12%,"한국 최초 와일드베리(머루)로 만든 한반도 최초의 와인입니다. 무주 구천동 머루와인은 순간의 달콤함이 느껴지는 첫 맛, 천천히 올라오는 산미의 싱그러운 피니시가 특징입니다. 머루의 씨와 껍질로 효소를 만들어 재배하는 순환농법을 통해 특히 높은 당도를 자랑하며, 주정을 첨가하지 않는 순수한 당 발효 공법으로 머루와인의 풍미를 즐길 수 있습니다."
65,해 1614,덕유양조,"청포도(청수/국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모",750ml,12%,덕유 와이너리에서 직접 재배한 청수만을 사용한 과실주입니다. 농촌진흥청 원예연구소에서 개발한 우리나라 품종 청수 청포도 특유 풍미가 진해 와인으로 양조했을 때 풍부한 과일향과 높은 당도 그리고 산뜻한 산미의 조화가 일품입니다. 우리나라 음식과 찰떡궁합입니다.
66,벗이랑 마일드,석이원주조,"쌀(국내산),정제수,누룩(밀함유),효모,정제효소",700ml,8%,100% 국내산 우수한 재료만을 엄선하여 한밭골 최고 품질 옥토미로 세 번 빚은 프리미엄 전통주입니다.
67,하얀허브,민주술도가,"쌀(국내산),누룩(국내산),허브(국내산 유기농)",530ml,8%,"하얀허브는 깨끗한 쌀,깨끗한 허브,깨끗한 누룩으로만 빚은 프리미엄 수제 막걸리입니다."
68,오미자씨,두술도가,"희양산우렁쌀(국내산/유기농100%),효모,오미자(국내산/무농약),누룩(밀/국내산),정제수",650ml,7.8%,부드럽고 뽀얀 분홍빛의 색을 보고 딸기우유가 떠오르지만 그 맛은 그리 달지 않아 깔끔하고 질리지 않게 마실 수 있는 오미자 막걸리입니다. 탄산이 없고 새콤한 맛이 강해 오미자의 맛을 더 잘 느낄 수 있습니다.
69,찰진,남도가양주,"정제수,찹쌀(국내산),멥쌀 (국내산),누룩(밀)",750ml,7%,찰진 막걸리는 예로부터 전해져 내려오는 전통주 중 조선시대에 가장 널리 빚어져 왔던 ‘석탄향’ 주조법을 그대로 재현하여 깊고 풍성한 우리술의 풍미를 잘 살려낸 프리미엄 막걸리입니다.
70,달막,월광주조,"정제수,쌀(국내산),국,효모,산도조절제",500ml,13%,달막은 탄산 없이 묵직한 바디감과 과일 향이 특징입니다. 달막은 술을 거른 이후 물을 조금도 타지 않은 순수한 원주입니다. 오직 쌀 본연의 깊은 단맛을 살린 탁주로 걸쭉하면서 진한 맛을 느낄 수 있습니다.
71,감성 막걸리,주다솜,"정제수,쌀(경기산),에리스리톨,국,효모",750ml,6%,감성 막걸리는 천연 감미료와 국내산 100% 경기미를 사용하여 빚은 용인 지역특산주입니다.
72,유톡자톡,양주도가,"정제수,쌀(국내산),입국,감자,고구마,유자,효모,당류가공품",800ml,6%,국내산 쌀에 유자를 더해 빚은 막걸리입니다. 유톡자톡은 화학첨가물을 일체 넣지 않고 국내산 우수한 품질의 양주 쌀로 만든 순수한 막걸리입니다.
73,일월삼주 이주,빛올양조연구소,"찹쌀(함안군 무농약 찹쌀),빛올효모,누룩(밀함유),정제수",350ml,14.2%,일월삼주 이주는 일월삼주의 두 번째 시리즈로 일월삼주 일주142를 맑게 여과한 뒤 숙성한 술입니다. 산미를 싫어하시는 분들도 반할 만한 향긋한 산미를 지녔습니다.
74,양촌감 보드카,양촌감 와이너리,"감발효증류주,정제수",375ml,32%,추시는 홍국과 타닌으로부터 옅은 붉은 색을 띄며 감 고유의 은은한 향과 입안을 감싸는 독특한 떫은 맛이 특징입니다. 감을 사용한 술을 만들기 위해 홍국균을 이용하여 감을 발효시키는 특수공법을 개발하여 추시만의 독특한 맛과 향을 만들게 되었습니다.
75,추시 감와인,양촌감 와이너리,감.홍국.효모.포도당.주석산.펙티나제.헤미셀룰라제.효소처리스테비아.메타중아황산칼륨(산화방지제),750ml,12.5%,추시는 홍국과 타닌으로부터 옅은 붉은 색을 띄며 감 고유의 은은한 향과 입안을 감싸는 독특한 떫은 맛이 특징입니다. 감을 사용한 술을 만들기 위해 홍국균을 이용하여 감을 발효시키는 특수공법을 개발하여 추시만의 독특한 맛과 향을 만들게 되었습니다.
76,두레앙 브랜디,두레양조,"포도96.1%,메타증아황산칼륨,효모,설탕,정제수",500ml,35%,"두레앙 브랜디는 증류 과정에서 두통을 유발하는 초류와 후류를 제거해 깔끔한 맛을 자랑한다. 특히 맛을 좋게 하기 위해 감압식 증류로 생산, 일반 농가에서 만들어 먹는 증류주에 비해 불 냄새가 없고 포도향이 강해 제대로 된 거봉 증류주의 풍미를 만끽할 수 있다. 오크통 숙성을 하여 오크향과 묵직한 바디감이 일품이다."
77,산정호수 솔잎주,술빚는 전가네,"찹쌀32.4%,누룩0.65%,솔입0.005%,정제수60.94%",350ml,30%,궁예의 눈물을 두 번 증류하여 산정호수의 노송에 담궈 낸 30도 증류주이다.
78,홍매반개주,술빚는 전가네,"포천쌀45.02%,국산팥4.5%,전가네 누로룩4.5%,정제수45.98%.",500ml,15%,팥을 원료로 세 번 빚은 삼양주. 창경궁의 500년된 홍매가 반쯤 피었을 때의 빛깔을 닮았다고 이름 붙인 약주이다.
79,붉은 산정호주,술빚는 전가네,"포천쌀45.02%,흑미찹쌀4.5%,전가네 누로룩4.5%,정제수45.9%.",500ml,15%,흑미 찹쌀로 빚은 삼양주. 마치 가을 산정호수에 비친 붉은 단풍이 연상되는 빛과 달달한 맛에 그윽한 향이 있는 술이다.
80,고향춘,술빚는 전가네,"포천쌀9.6%,찹쌀19.2%향미참쌀9.6%,전가네 이화곡3.8%,정제수57.8%.",350ml,10%,쌀가루 누룩(이화곡)으로 빚은 과일향과 단맛이 조화를 이룬 탁주이다.
81,궁예의 눈물,술빚는 전가네,"포천쌀31.1%,누룩3.1%,억새어린순0.3%,정제수65.6%.",720ml,10%,왕건이 궁예에게 잡혀 크게 울었다고 해서 이름붙여진 산정호수의 명성산 그 산의 억새를 재료로 만든 가양주
82,쌀은 원래 달다,인천탁주,"쌀(국내산) 36.28%함유, 국, 효모, 혼합제제(효모가루, 유당)",500ml,9%,"자연의 맛 그대로,
소중한 분과 함께하는 고품격 프리미엄 막걸리

쌀은 원래 달다는 합성감미료를 전혀 사용하지 않고 오직 국내산 쌀로만 단맛을 구현한 프리미엄 막걸리입니다.
쌀은 원래 달다는 이화주 전통방식을 현대적으로 재해석하여 맛과 풍미가 가득한 생막걸리입니다."
83,인천 소성주 플러스,인천탁주,"정제수, 쌀(국내산), 국(밀함유), 팽화미(국내산), 올리고당, 효모, 아스파담(감미료, 페닐알라딘 함유), 구연산",750ml,6%,"소성주플러스 막걸리는 국내산 쌀과 한국 식품 연구원 우리술 연구팀과 공동개발한 국내산 전통 누룩의 우수효모로 만든 인천탁주에서 개발한 프리미엄 막걸리이다.

깨끗하고 부드러운 맛이 특징인 소성주플러스는 알코올 도수를 5%로 하여
여성들과 젊은층들이 선호하는 저도주 막걸리 시장의 특성을 잘 살린 막걸리이다. 

또한,  생소성주 라벨에 12간지 동물을 그려 넣었듯이 소성주플러스 라벨에도 12가지의 재미난 문구를 삽입하여 골라먹는 재미를 만들었다."
84,인천 생 소성주,인천탁주,"정제수, 쌀(외국산),팽화미(외국산),이소말토올리고당, 국, 효모, 정제효소, 종국, 아스파탐(페닐알라닌 함유,합성감미료), 구연산, 밀(곡류)함유",750ml,6%,"기존의 막걸리의 이미지가 남성적이고 투박하며 거칠고 탁한 맛이었다면 생소성주는 여성들과 젊은층도 선호할 수 있도록 숙성시간과 담금횟수를 늘려 부드럽고 톡 쏘는 청량감이 느껴져 누구나 부담없이 마실수 있도록 하였다.

인천의 통일신라 시대 이름인 소성현에서 이름이 유래한 생소성주는 80년 넘게 막걸리를 빚으며 업계최초로 쌀로 만든 막걸리를 만들었고, 인천지역 최고의 점유률을 자랑하는 대표 막걸리이다.

또한 포장에는 소비자들에게 즐길거리를 제공하기 위해 12간지 동물을 그려넣어 막걸리를 마시면서 재미있는 대화의 소재가 될수 있도록 하였다.

생소성주는 성인이라면 누구나 마음편하게 마실수 있도록 부담없는 가격으로 공급해야 한다는 마인드를 바탕으로 지속적인 연구와 개발을 끊임없이 하고 있다

1990년 업계 최초로 쌀 막걸리를 출시한 인천탁주. 90년대 초부터 수출을 시작하고 92년 우수 포장선정 국세청장의 표창까지 받은 유서 깊은 양조으로, 인천지역 막걸리 시장의 큰손으로 자리매김하고 있다. 지난 1974년 인천지역의 11개 양조장의 합병으로 만들어져 72년간의 오랜 경험을 바탕으로 인천의 자부심을 가지고 막걸리를 빚고 있다.

생 소성주는 숙성시간과 담금 횟수를 늘려 부드럽고 톡 쏘는 탄산의 상쾌한 청량감이 느껴지며, 특유의 감칠맛이 매력적이다."
85,삼해주,선인양조,"양주쌀, 누룩, 정제수",500ml,15%,"삼해 주는 고려 시대부터 이어져 온 서울지역의 전통주입니다. 원래 궁중에서 의식이나 행사 사용하거나 사대부 집안의 가양주로 애용되다가 조선시대에 큰 사랑을 받았습니다. 15도 도수가 느껴지지 않을 만큼 부드러우며 단맛, 신맛 등이 적당히 잘 어우러지고 뒷맛도 깔끔합니다."
86,온지오,(주)농업회사법인 온지술도가,"정제수, 찹쌀(국내산), 건오미자, 고구마, 감자,누룩(밀 함유)",500ml,10%,손으로 직접 짜내어 주질이 부드러운 서촌 막걸리의 특징 그대로 목 넘김이 깔끔해서 가벼운 느낌으로 즐길 수 있습니다.
87,벼리,백년주조,국내산 쌀13%,935ml,6%,저온 숙성과정에 알코올을 일부 증발시켜 풍미를 가득 담았습니다.부드러운 목넘김과 깊고 상쾌한 맛을 느낄 수 있습니다.
88,월탁,한국술도가,"쌀(국내산), 정제수, 누룩",500ml,13.1%,"월탁은 막걸리 제조 과정 중 인공 첨가제나 과일을 넣지 않았음에도 과일향을 느끼실 수 있습니다.마시는 사람이 어떤 과일을 생각하는지에 따라 잔 안에 가득히 퍼지는 과일향이 다르게 느껴지며,달콤한 과일향이 후각을 자극합니다."
89,경기 쌀 막걸리,오산양조,"물,쌀(경기미 세마쌀26.67%),국,효모,밀함유",600ml,7.7%,국내산 세마쌀을 100%원료로 합성 첨가물 없이 순수 재료로 깨끗하고 정직하게 만들어 깔끔하고 깊은 맛을 느끼실 수 있습니다.
90,희양산 생막걸리 9도,두술도가,"쌀(국내산/무농약),효모,누록(밀/국내산),정제수",650ml,9%,"담백하고 깔끔한 맛이 특징으로,단맛과 신맛,알코올이 균형을 갖춘 술입니다."
91,하늘담6 생막걸리,순천주조,국내산 햅쌀,750ml,6%,"구수하고 달달한 맛에 살짝 쏘는 탄산감이 좋은, 전통 생막걸리의 진수입니다."
92,만세 보령주,영농조합법인 보령전통주,"정제수,백미(국내산)12%,찹쌀(국내산)37%,누록(밀)",750ml,15%,저온에서 충분히 발효 숙성되어 부드러운 맛과 깔끔한 청량감을 느낄 수 있는 전통주 고유의 맛과 향을 느낄 수 있습니다.
93,레인보우,도란원,"포도,복숭아,블루베리,아로니아,메타중아황산칼륨(산화방지제),사과,자두,머루(국내산100%)효모,아황산함유",375ml,12%,"국내산 포도,복숭아,블루베리,아로니아,사과,자두,머루를 도란원만의 특별한 제조법으로 빚어 새콤달콤한 과일 향의 풍미와 은은한 단 맛과 산미,부드러운 목 넘김이 좋습니다."
94,복숭아와인,솔티마을,"복숭아원액89.92%[국내산100%],설탕,효소",500ml,12%,투명하고 은은한 복숭아 향이 살아있는 산뜻한 바디감의 화이트 와인입니다.
95,대담 15,대밭고을,"국산 쌀, 국산 전통 누룩, 물, 대잎",500ml,15%,막걸리 단맛을 내는 인공감미료(아스파탐) 사용하지 않습니다. 오로지 쌀의 단맛으로만 맛을 낸 대밭고을의 약주입니다.
96,대담 13,대밭고을,"국산 쌀, 국산 전통 누룩, 물,대잎",500ml,13%,"대나무잎에는 플라보노이드 성분이 많이 함유되어 있어 항산화, 항노화 및 항균 활성 작용을 합니다.
마지막 목넘김까지 대잎의 고유의 향미를 느낄 수 있습니다."
